date,documents,total_tokens,expression,colonne_flourish,regex,occurrences,freq_ppm
1881,1,34636,épilepsie,epilepsie,[EÉ]pilepsie(s)?,52,1501.328098
1881,1,34636,anévrisme miliaire,anevrisme_miliaire,An[ée]vr[yi]sme(s)? miliaire(s)?,0,0.0
1881,1,34636,aphasie,aphasie,Aphasie(s)?,2,57.743388
1881,1,34636,arthropathie tabétique,arthropathie_tabetique,Arthropathie(s)? tabétique(s)?,0,0.0
1881,1,34636,astasie-abasie,astasie_abasie,Astasie(s)?-abasie(s)?,0,0.0
1881,1,34636,ataxie locomotrice progressive,ataxie_locomotrice_progressive,Ataxie(s)? locomotrice(s)? progressive(s)?,0,0.0
1881,1,34636,athétose,athetose,Athétose(s)?,2,57.743388
1881,1,34636,atrophie musculaire progressive,atrophie_musculaire_progressive,Atrophie(s)? musculaire(s)? progressive(s)?,0,0.0
1881,1,34636,bulbe rachidien,bulbe_rachidien,Bulbe(s)? rachidien(s)?,0,0.0
1881,1,34636,chorée,choree,Chorée(s)?,0,0.0
1881,1,34636,clonus,clonus,Clonus,0,0.0
1881,1,34636,coupe verticale,coupe_verticale,Coupe(s)? verticale(s)?,0,0.0
1881,1,34636,fugue,fugue,Fugue(s)?,0,0.0
1881,1,34636,glossy skin,glossy_skin,Glossy skin(s)?,0,0.0
1881,1,34636,hypnose,hypnose,Hypnose(s)?,0,0.0
1881,1,34636,hystérie,hysterie,Hystérie(s)?,21,606.305578
1881,1,34636,localisation cérébrale,localisation_cerebrale,Localisation(s)? cérébrale(s)?,0,0.0
1881,1,34636,maladie de Parkinson,maladie_de_parkinson,Maladie(s)?( de)? Parkinson,0,0.0
1881,1,34636,maladie de Gilles de la Tourette,maladie_de_gilles_de_la_tourette,Maladie(s)?( de)?( Gilles de la)? Tourette,0,0.0
1881,1,34636,méthode anatomo-clinique,methode_anatomo_clinique,Méthode(s)? anatomo-clinique(s)?,0,0.0
1881,1,34636,migraine ophtalmique,migraine_ophtalmique,Migraine(s)? ophtalmique(s)?,0,0.0
1881,1,34636,pachyméningite cervicale hypertrophique,pachymeningite_cervicale_hypertrophique,Pachym[eé]ningite(s)? cervicale(s)? hypertrophique(s)?,0,0.0
1881,1,34636,paralysie agitante,paralysie_agitante,Paralysi[es] agitan(te|s),1,28.871694
1881,1,34636,sclérose en plaques disséminées,sclerose_en_plaques_disseminees,Sclérose(s)? en plaque(s)? disséminées(s)?,0,0.0
1881,1,34636,sclérose latérale amyotrophique,sclerose_laterale_amyotrophique,Sclérose(s)? latérale(s)? amyotrophique(s)?,1,28.871694
1881,1,34636,syndrome de Parkinson,syndrome_de_parkinson,Syndrome(s)?( de)? Parkinson,0,0.0
1881,1,34636,syndrome de Gilles de la Tourette,syndrome_de_gilles_de_la_tourette,Syndrome(s)?( de)?( Gilles de la)? Tourette,0,0.0
1881,1,34636,systématisation de la moelle,systematisation_de_la_moelle,"Syst[ée]matisation(?:\s+[\wÀ-ÖØ-öø-ÿ'-]+){0,10}\s+mo[ëeèê]lle",0,0.0
1881,1,34636,tabès dorsalis,tabes_dorsalis,Tab[eè]s dorsal(is)?,1,28.871694
1881,1,34636,tabès dorsalis spasmodique,tabes_dorsalis_spasmodique,Tab[eè]s dorsal(is)? spasmodique(s)?,1,28.871694
1881,1,34636,thrombose de l'artère cérébrale postérieure,thrombose_de_l_artere_cerebrale_posterieure,"Thrombose\s+(?:de\s+l[’']?art(?:e|è)re\s+c(?:é|e)rébrale(?:\s+post(?:é|e)rieure)?|de\s+la\s+c(?:é|e)rébrale\s+post(?:é|e)rieure|(?:[\wÀ-ÖØ-öø-ÿ]+(?:[-’'][\wÀ-ÖØ-öø-ÿ]+)?\s+){1,6}de\s+l[’']?art(?:e|è)re\s+c(?:é|e)rébrale\s+post(?:é|e)rieure)",0,0.0
1881,1,34636,tic convulsif,tic_convulsif,Tic(s)? convulsif(s)?,0,0.0
1881,1,34636,tremblement,tremblement,Tremblement(s)?,4,115.486777
1882,1,52609,épilepsie,epilepsie,[EÉ]pilepsie(s)?,95,1805.774677
1882,1,52609,anévrisme miliaire,anevrisme_miliaire,An[ée]vr[yi]sme(s)? miliaire(s)?,0,0.0
1882,1,52609,aphasie,aphasie,Aphasie(s)?,1,19.008154
1882,1,52609,arthropathie tabétique,arthropathie_tabetique,Arthropathie(s)? tabétique(s)?,0,0.0
1882,1,52609,astasie-abasie,astasie_abasie,Astasie(s)?-abasie(s)?,0,0.0
1882,1,52609,ataxie locomotrice progressive,ataxie_locomotrice_progressive,Ataxie(s)? locomotrice(s)? progressive(s)?,0,0.0
1882,1,52609,athétose,athetose,Athétose(s)?,0,0.0
1882,1,52609,atrophie musculaire progressive,atrophie_musculaire_progressive,Atrophie(s)? musculaire(s)? progressive(s)?,0,0.0
1882,1,52609,bulbe rachidien,bulbe_rachidien,Bulbe(s)? rachidien(s)?,0,0.0
1882,1,52609,chorée,choree,Chorée(s)?,0,0.0
1882,1,52609,clonus,clonus,Clonus,0,0.0
1882,1,52609,coupe verticale,coupe_verticale,Coupe(s)? verticale(s)?,0,0.0
1882,1,52609,fugue,fugue,Fugue(s)?,0,0.0
1882,1,52609,glossy skin,glossy_skin,Glossy skin(s)?,0,0.0
1882,1,52609,hypnose,hypnose,Hypnose(s)?,0,0.0
1882,1,52609,hystérie,hysterie,Hystérie(s)?,9,171.07339
1882,1,52609,localisation cérébrale,localisation_cerebrale,Localisation(s)? cérébrale(s)?,0,0.0
1882,1,52609,maladie de Parkinson,maladie_de_parkinson,Maladie(s)?( de)? Parkinson,0,0.0
1882,1,52609,maladie de Gilles de la Tourette,maladie_de_gilles_de_la_tourette,Maladie(s)?( de)?( Gilles de la)? Tourette,0,0.0
1882,1,52609,méthode anatomo-clinique,methode_anatomo_clinique,Méthode(s)? anatomo-clinique(s)?,0,0.0
1882,1,52609,migraine ophtalmique,migraine_ophtalmique,Migraine(s)? ophtalmique(s)?,0,0.0
1882,1,52609,pachyméningite cervicale hypertrophique,pachymeningite_cervicale_hypertrophique,Pachym[eé]ningite(s)? cervicale(s)? hypertrophique(s)?,0,0.0
1882,1,52609,paralysie agitante,paralysie_agitante,Paralysi[es] agitan(te|s),0,0.0
1882,1,52609,sclérose en plaques disséminées,sclerose_en_plaques_disseminees,Sclérose(s)? en plaque(s)? disséminées(s)?,0,0.0
1882,1,52609,sclérose latérale amyotrophique,sclerose_laterale_amyotrophique,Sclérose(s)? latérale(s)? amyotrophique(s)?,0,0.0
1882,1,52609,syndrome de Parkinson,syndrome_de_parkinson,Syndrome(s)?( de)? Parkinson,0,0.0
1882,1,52609,syndrome de Gilles de la Tourette,syndrome_de_gilles_de_la_tourette,Syndrome(s)?( de)?( Gilles de la)? Tourette,0,0.0
1882,1,52609,systématisation de la moelle,systematisation_de_la_moelle,"Syst[ée]matisation(?:\s+[\wÀ-ÖØ-öø-ÿ'-]+){0,10}\s+mo[ëeèê]lle",0,0.0
1882,1,52609,tabès dorsalis,tabes_dorsalis,Tab[eè]s dorsal(is)?,0,0.0
1882,1,52609,tabès dorsalis spasmodique,tabes_dorsalis_spasmodique,Tab[eè]s dorsal(is)? spasmodique(s)?,0,0.0
