date,documents,total_tokens,expression,colonne_flourish,regex,occurrences,freq_ppm
1881,3,582592,épilepsie,epilepsie,[EÉ]pilepsie(s)?,361,619.644623
1881,3,582592,anévrisme miliaire,anevrisme_miliaire,An[ée]vr[yi]sme(s)? miliaire(s)?,2,3.432934
1881,3,582592,aphasie,aphasie,Aphasie(s)?,51,87.539822
1881,3,582592,arthropathie tabétique,arthropathie_tabetique,Arthropathie(s)? tabétique(s)?,11,18.881138
1881,3,582592,astasie-abasie,astasie_abasie,Astasie(s)?-abasie(s)?,0,0.0
1881,3,582592,ataxie locomotrice progressive,ataxie_locomotrice_progressive,Ataxie(s)? locomotrice(s)? progressive(s)?,0,0.0
1881,3,582592,athétose,athetose,Athétose(s)?,2,3.432934
1881,3,582592,atrophie musculaire progressive,atrophie_musculaire_progressive,Atrophie(s)? musculaire(s)? progressive(s)?,1,1.716467
1881,3,582592,bulbe rachidien,bulbe_rachidien,Bulbe(s)? rachidien(s)?,1,1.716467
1881,3,582592,chorée,choree,Chorée(s)?,75,128.735032
1881,3,582592,clonus,clonus,Clonus,1,1.716467
1881,3,582592,coupe verticale,coupe_verticale,Coupe(s)? verticale(s)?,1,1.716467
1881,3,582592,fugue,fugue,Fugue(s)?,2,3.432934
1881,3,582592,glossy skin,glossy_skin,Glossy skin(s)?,0,0.0
1881,3,582592,hypnose,hypnose,Hypnose(s)?,0,0.0
1881,3,582592,hystérie,hysterie,Hystérie(s)?,462,793.0078
1881,3,582592,localisation cérébrale,localisation_cerebrale,Localisation(s)? cérébrale(s)?,25,42.911677
1881,3,582592,maladie de Parkinson,maladie_de_parkinson,Maladie(s)?( de)? Parkinson,0,0.0
1881,3,582592,maladie de Gilles de la Tourette,maladie_de_gilles_de_la_tourette,Maladie(s)?( de)?( Gilles de la)? Tourette,0,0.0
1881,3,582592,méthode anatomo-clinique,methode_anatomo_clinique,Méthode(s)? anatomo-clinique(s)?,0,0.0
1881,3,582592,migraine ophtalmique,migraine_ophtalmique,Migraine(s)? ophtalmique(s)?,0,0.0
1881,3,582592,pachyméningite cervicale hypertrophique,pachymeningite_cervicale_hypertrophique,Pachym[eé]ningite(s)? cervicale(s)? hypertrophique(s)?,0,0.0
